NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
558084;2;106;1.33;31.26;Kg;18;3;20;5102;33.33
558085;1;119;3;33.18;Un;0;0;60;5405;0
558085;2;122;12.65;43.39;Kg;12;0;0;5102;0
557416;1;290;3.43;25.05;Kg;18;3;20;5102;33.33
557416;2;315;0.53;27.84;Kg;18;3;20;5102;33.33
557416;3;267;2;26.74;Un;18;3;20;5102;33.33
557416;4;159;8.05;40.37;Kg;18;3;20;5102;33.33
557416;5;148;8.64;41.18;Kg;12;3;0;5102;0
557416;6;325;0.6;64.86;Kg;18;3;20;5102;33.33
557416;7;316;0.6;14.5;Kg;18;3;20;5102;33.33
558086;1;742;3;11.5;Un;18;0;60;5405;0
557417;1;992;12;5.9;Lt;12;2;60;5405;0
557418;1;772;0.342;49.9;Kg;0;3;60;5405;0
557419;1;314;1;83.52;Un;18;0;20;5102;33.33
557419;2;161;0.37;50;Kg;18;0;20;5102;33.33
557419;3;164;0.256;66.84;Kg;18;0;20;5102;33.33
557419;4;471;1;21.48;Un;0;0;60;5405;0
557419;5;313;0.278;23.2;Kg;18;0;20;5102;33.33
557420;1;106;1.326;31.26;Kg;18;3;20;5102;33.33
557420;2;217;0.102;43.9;Kg;0;3;60;5405;0
557420;3;250;0.054;74.9;Kg;0;3;60;5405;0
557421;1;267;2;26.74;Un;18;0;20;5102;33.33
557422;1;485;0.4;83.54;Kg;18;0;0;5102;0
557424;1;313;3;23.2;Kg;18;0;20;5102;33.33
557424;2;153;2.082;68.15;Kg;18;0;20;5102;33.33
558087;1;126;7.37;12.72;Kg;18;0;20;5102;33.33
558087;2;484;2.04;52.46;Kg;18;0;20;5102;33.33
558087;3;445;1;19.55;Un;18;0;20;5102;33.33
558087;4;194;1.9;58.02;Kg;12;0;0;5102;0
557425;1;465;1;55.06;Un;0;0;0;5102;0
557425;2;375;1;66.69;Un;18;0;20;5102;33.33
557425;3;442;1;27.93;Bd;0;0;0;5102;0
557425;4;2267;1;42.5;Un;12;0;20;5102;33.33
557426;1;107;3.6;52.9;Kg;18;0;20;5102;33.33
558088;1;122;8.3;43.39;Kg;12;0;0;5102;0
558088;2;156;1;41.5;Un;18;0;20;5102;33.33
558088;3;442;1;27.93;Bd;0;0;0;5102;0
558088;4;193;2;14.5;Lt;18;0;20;5102;33.33
557427;1;2277;2;9.5;Un;12;0;0;5102;0
558089;1;908;1;20.53;Cx;18;3;0;5102;0
558089;2;912;1;44.09;Cx;18;3;0;5102;0
558089;3;921;1;19.22;Cx;18;3;20;5102;6.11
557428;1;327;20;12.12;Kg;18;2;20;5102;33.33
557428;2;497;1.04;64.9;Kg;18;2;20;5102;33.33
557428;3;712;1;25.8;Kg;18;2;20;5102;61.11
557428;4;371;4;216.86;Bd;18;2;20;5102;61.11
557428;5;108;30;16.8;Un;18;2;20;5102;33.33
558090;1;106;0.68;31.26;Kg;18;0;20;5102;33.33
558090;2;122;2.226;43.39;Kg;12;0;0;5102;0
558090;3;227;5;18.99;Kg;0;0;60;5405;0
558090;4;331;1;10.34;Un;0;0;60;5405;0
558090;5;198;1;11.88;Un;18;0;20;5102;33.33
558090;6;446;1;12.66;Un;0;0;0;5102;0
558090;7;391;2;3.12;Lt;0;0;60;5405;0
558090;8;441;1;11.5;Bd;0;0;0;5102;0
558090;9;558;1;30;Un;18;0;20;5102;33.33
557429;1;194;10.4;55.26;Kg;12;3;0;5102;0
557429;2;155;20;39.72;Kg;18;3;20;5102;33.33
558185;1;302;1;42.06;Bd;18;0;20;5102;33.33
558091;1;290;0.574;25.05;Kg;18;0;20;5102;33.33
557430;1;453;3;28.55;Un;0;0;0;5102;0
557430;2;110;6.7;38.99;Kg;12;0;0;5102;0
558092;1;396;3;11.56;Un;12;0;0;5102;0
558092;2;341;1;21.09;Un;18;0;0;5102;0
558092;3;352;1;19.21;Un;18;0;0;5102;0
558092;4;224;2.5;24.51;Kg;0;0;0;5102;0
557431;1;122;25.1;38.99;Kg;12;0;0;5102;0
557431;2;156;3;39.72;Un;18;0;20;5102;33.33
557431;3;396;12;11.56;Un;12;0;0;5102;0
557432;1;442;1;27.93;Bd;0;0;0;5102;0
557432;2;918;1;47.2;Un;18;0;60;5405;0
557432;3;509;2.32;8.85;Kg;18;0;20;5102;61.11
557432;4;508;2.44;11.6;Kg;18;0;20;5102;61.11
557432;5;500;5;37.95;Kg;18;0;20;5102;61.11
557432;6;505;7.1;21.28;Kg;18;0;20;5102;61.11
557432;7;507;7.1;20.7;Kg;18;0;20;5102;61.11
557432;8;435;1;28.75;Un;18;0;20;5102;12
557432;9;684;2;22.23;Un;18;0;20;5102;33.33
557433;1;148;2.744;41.18;Kg;12;0;0;5102;0
557433;2;122;12.53;38.99;Kg;12;0;0;5102;0
557433;3;453;1;28.55;Un;0;0;0;5102;0
557433;4;198;1;12.92;Un;18;0;20;5102;33.33
557433;5;442;1;27.93;Bd;0;0;0;5102;0
558093;1;153;1.03;73;Kg;18;0;20;5102;33.33
558093;2;170;5;34.16;Kg;12;0;0;5102;0
558093;3;456;1;32.26;Un;0;0;0;5102;0
558093;4;122;12.4;43.39;Kg;12;0;0;5102;0
558093;5;126;3.29;12.72;Kg;18;0;20;5102;33.33
558093;6;110;1.102;43.73;Kg;12;0;0;5102;0
558093;7;205;0.914;22.62;Kg;0;0;0;5102;0
558093;8;205;0.604;22.62;Kg;0;0;0;5102;0
557434;1;502;6;18.15;Un;18;0;20;5202;61.11
558186;1;290;9.5;25.05;Kg;18;0;20;5102;33.33
558186;2;170;15;34.16;Kg;12;0;0;5102;0
558094;1;465;2;55.06;Un;0;0;0;5102;0
558094;2;119;8;33.18;Un;0;0;60;5405;0
557435;1;194;1.07;55.26;Kg;12;0;0;5102;0
557435;2;120;1;12.9;Un;18;0;20;5102;33.33
557436;1;925;1;24.78;Un;18;0;20;5102;12
557437;1;224;10;22.86;Kg;0;0;0;5102;0
558095;1;319;2;44.08;Bd;18;0;20;5102;33.33
557438;1;925;1;24.78;Un;18;0;20;5102;12
557438;2;156;1;39.72;Un;18;0;20;5102;33.33
557440;1;1389;4;10;Un;0;0;60;5405;0
558096;1;213;7.06;20.05;Kg;0;0;0;5102;0
557442;1;1389;4;10;Un;0;0;60;5405;0
557442;2;205;1.004;37.9;Kg;0;0;0;5102;0
557442;3;159;1.016;54.9;Kg;18;0;20;5102;33.33
557442;4;992;12;5.9;Lt;12;2;60;5405;0
557442;5;2277;2;9.5;Un;12;0;0;5102;0
557444;1;122;0.514;38.99;Kg;12;0;0;5102;0
557444;2;284;0.52;57.9;Kg;0;0;0;5102;0
557445;1;106;0.63;31.26;Kg;18;0;20;5102;33.33
557445;2;122;4.16;38.99;Kg;12;0;0;5102;0
557445;3;331;1;10.34;Un;0;0;60;5405;0
557445;4;1389;2;10;Un;0;0;60;5405;0
557445;5;191;2;15.6;Lt;18;0;0;5102;0
557445;6;213;1.8;20.05;Kg;0;0;0;5102;0
557446;1;446;15;12.66;Un;0;0;0;5102;0
558097;1;292;27;3.02;Un;0;0;60;5405;0
558097;2;649;2;23.9;Un;0;0;0;5102;0
557448;1;396;3;11.56;Un;12;0;0;5102;0
557448;2;196;2.05;30.36;Kg;18;0;20;5102;33.33
557448;3;110;3.2;38.99;Kg;12;0;0;5102;0
557448;4;155;3;39.72;Kg;18;0;20;5102;33.33
557448;5;364;1;21.24;Un;12;0;0;5102;0
557448;6;301;1;83.52;Un;18;0;0;5102;0
557448;7;213;3.4;20.05;Kg;0;0;0;5102;0
557448;8;371;1;216.86;Bd;18;0;20;5102;61.11
557448;9;491;1;25.27;Bd;18;0;20;5102;33.33
557449;1;122;8.38;38.99;Kg;12;0;0;5102;0
557449;2;801;3.05;47.06;Kg;18;0;20;5102;33.33
557451;1;505;5;21.28;Kg;18;3;20;5102;61.11
557451;2;509;2.36;8.85;Kg;18;3;20;5102;61.11
557451;3;510;2.16;18.1;Kg;18;3;20;5102;61.11
557453;1;165;2.594;66.84;Kg;18;0;20;5102;33.33
557453;2;164;2.948;66.84;Kg;18;0;20;5102;33.33
557453;3;167;2.65;49.84;Kg;18;0;20;5102;33.33
557453;4;129;6;34.87;Un;18;0;20;5102;33.33
557454;1;153;0.304;99.9;Kg;18;0;20;5102;33.33
557455;1;110;1.538;38.99;Kg;12;0;0;5102;0
557456;1;443;2;39.52;Un;18;0;0;5102;0
558098;1;456;1;34.56;Un;0;0;0;5102;0
558098;2;122;1.758;44.77;Kg;12;0;0;5102;0
558403;1;318;6;25.9;Un;18;3;60;5405;0
558403;2;992;1;6.17;Lt;12;2;60;5405;0
558403;3;468;1;41.32;Kg;18;3;0;5102;0
558403;4;405;0.24;56.28;Kg;18;3;20;5102;33.33
558418;1;198;2;12.92;Un;18;0;20;5102;33.33
558418;2;468;1;40.97;Kg;18;0;0;5102;0
558418;3;150;1.066;64.9;Kg;18;0;20;5102;33.33
558418;4;122;0.514;53.5;Kg;12;0;0;5102;0
558418;5;122;1.018;53.5;Kg;12;0;0;5102;0
557457;1;446;4;12.66;Un;0;0;0;5102;0
557457;2;820;1;28.9;Un;18;0;20;5102;33.33
557458;1;153;5.088;68.15;Kg;18;3;20;5102;33.33
557458;2;292;4;3.02;Un;0;3;60;5405;0
557458;3;394;1;60.84;Un;18;3;20;5102;33.33
557458;4;992;3;5.9;Lt;12;2;60;5405;0
557458;5;314;1;83.52;Un;18;3;20;5102;33.33
557458;6;490;0.355;21.6;Kg;0;3;0;5102;0
557458;7;712;0.315;25.8;Kg;18;3;20;5102;61.11
557458;8;181;2.92;42.12;Kg;18;3;20;5102;33.33
557458;9;194;1.1;55.26;Kg;12;3;0;5102;0
557458;10;602;2;52.28;Un;18;3;20;5102;33.33
557458;11;224;2.5;22.86;Kg;0;3;0;5102;0
558099;1;125;1;50.17;Un;18;0;20;5102;33.33
558099;2;106;0.664;31.26;Kg;18;0;20;5102;33.33
558099;3;549;2;12.9;Un;13.33;0;60;5405;0
557459;1;332;0.538;16.9;Kg;12;3;0;5102;0
558101;1;709;1.012;68.9;Kg;0;0;0;5102;0
558101;2;213;2.012;26.9;Kg;0;0;0;5102;0
558101;3;110;1.034;53.5;Kg;12;0;0;5102;0
558101;4;110;1.026;53.5;Kg;12;0;0;5102;0
558101;5;108;1;16.95;Un;18;0;20;5102;33.33
557461;1;499;25;7.64;Kg;18;0;20;5102;33.33
557461;2;491;5;25.27;Bd;18;0;20;5102;33.33
558187;1;126;4.2;12.72;Kg;18;0;20;5102;33.33
558103;1;343;3;49.88;Un;18;0;20;5102;33.33
558103;2;155;5;41.5;Kg;18;0;20;5102;33.33
558104;1;144;1;49.44;Un;18;0;0;5102;0
558105;1;217;3.548;29.37;Kg;0;0;60;5405;0
557462;1;170;15;32.94;Kg;12;0;0;5102;0
557463;1;712;1.258;25.8;Kg;18;0;20;5102;61.11
557463;2;310;1.01;15.21;Kg;18;0;20;5102;33.33
557463;3;311;1.04;18.86;Kg;18;0;20;5102;33.33
558106;1;490;0.56;20.4;Kg;0;0;0;5102;0
558106;2;411;2;9.7;Kg;18;0;20;5102;33.33
558106;3;341;1;21.09;Un;18;0;0;5102;0
558106;4;388;6;8.97;Kg;18;0;20;5102;33.33
558106;5;435;1;28.75;Un;18;0;20;5102;12
557464;1;125;2;50.17;Un;18;0;20;5102;33.33
557464;2;156;2;39.72;Un;18;0;20;5102;33.33
557464;3;213;3.5;20.05;Kg;0;0;0;5102;0
558107;1;196;8.9;30.76;Kg;18;0;20;5102;33.33
558107;2;319;1;44.08;Bd;18;0;20;5102;33.33
558107;3;389;1;58.8;Bd;18;0;20;5102;33.33
557465;1;122;2.096;38.99;Kg;12;0;0;5102;0
557465;2;503;5;43.7;Kg;18;0;20;5102;61.11
557468;1;808;2;7.4;Un;0;0;60;5405;0
557468;2;138;4;10.34;Un;0;0;60;5405;0
