CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
1472;1;11;Cliente 1472;SÃO PAULO;SP;3550308;2;-1;14
1473;1;9;Cliente 1473;SÃO PAULO;SP;3550308;2;-1;14
1474;1;9;Cliente 1474;SÃO PAULO;SP;3550308;2;-1;14
1475;1;4;Cliente 1475;UBATUBA;SP;3555406;2;-1;28
1476;1;9;Cliente 1476;SÃO PAULO;SP;3550308;2;-1;14
1477;1;9;Cliente 1477;SÃO PAULO;SP;3550308;2;0;14
1478;1;9;Cliente 1478;SÃO PAULO;SP;3550308;2;-1;14
1479;1;9;Cliente 1479;SÃO PAULO;SP;3550308;2;-1;14
1480;1;9;Cliente 1480;SÃO PAULO;SP;3550308;2;-1;14
1481;1;9;Cliente 1481;SÃO PAULO;SP;3550308;2;0;10
1483;1;9;Cliente 1483;SÃO PAULO;SP;3550308;2;-1;14
1484;1;9;Cliente 1484;SÃO PAULO;SP;3550308;2;-1;14
1486;1;27;Cliente 1486;SÃO PAULO;SP;3550308;2;-1;14
1487;1;30;Cliente 1487;SÃO PAULO;SP;3550308;2;-1;14
1488;1;28;Cliente 1488;SÃO PAULO;SP;3550308;2;-1;7
1489;1;29;Cliente 1489;SÃO PAULO;SP;3550308;2;-1;14
1490;1;9;Cliente 1490;SÃO PAULO;SP;3550308;2;0;0
1491;1;27;Cliente 1491;SÃO PAULO;SP;3550308;2;-1;14
1492;1;9;Cliente 1492;SÃO PAULO;SP;3550308;2;-1;14
1493;1;28;Cliente 1493;SÃO PAULO;SP;3550308;2;-1;14
1494;1;29;Cliente 1494;SÃO PAULO;SP;3550308;2;-1;14
1495;1;9;Cliente 1495;SÃO PAULO;SP;3550308;2;-1;10
1496;1;9;Cliente 1496;SÃO PAULO;SP;3550308;2;-1;14
1498;1;9;Cliente 1498;SAO BERNARDO DO CAMPO;SP;3548708;2;-1;14
1499;1;9;Cliente 1499;SÃO PAULO;SP;3550308;2;-1;14
1500;1;28;Cliente 1500;SÃO PAULO;SP;3550308;2;-1;14
1501;1;27;Cliente 1501;SÃO PAULO;SP;3550308;2;-1;14
1502;1;30;Cliente 1502;SÃO PAULO;SP;3550308;2;-1;21
1503;1;28;Cliente 1503;SÃO PAULO;SP;3550308;2;-1;14
1504;1;11;Cliente 1504;SÃO PAULO;SP;3550308;2;0;14
1505;1;11;Cliente 1505;SÃO PAULO;SP;3550308;2;-1;14
1506;1;9;Cliente 1506;SÃO PAULO;SP;3550308;2;-1;14
1507;1;28;Cliente 1507;SÃO PAULO;SP;3550308;2;-1;14
1508;1;4;Cliente 1508;UBATUBA;SP;3555406;2;-1;14
1509;1;9;Cliente 1509;SÃO PAULO;SP;3550308;2;-1;14
1510;1;9;Cliente 1510;SÃO PAULO;SP;3550308;2;-1;14
1511;1;30;Cliente 1511;SÃO PAULO;SP;3550308;2;-1;14
1512;1;27;Cliente 1512;SÃO PAULO;SP;3550308;2;-1;14
1513;1;9;Cliente 1513;SÃO PAULO;SP;3550308;2;-1;21
1514;1;9;Cliente 1514;SÃO PAULO;SP;3550308;2;-1;21
1515;1;28;Cliente 1515;SÃO PAULO;SP;3550308;2;-1;21
1516;1;32;Cliente 1516;SÃO PAULO;SP;3550308;2;-1;7
1517;1;9;Cliente 1517;SÃO PAULO;SP;3550308;2;-1;21
1518;1;9;Cliente 1518;SÃO PAULO;SP;3550308;2;0;14
1519;1;28;Cliente 1519;SÃO PAULO;SP;3550308;2;-1;7
1520;1;9;Cliente 1520;SÃO PAULO;SP;3550308;2;-1;7
1521;1;27;Cliente 1521;SÃO PAULO;SP;3550308;2;-1;14
1522;1;9;Cliente 1522;SÃO PAULO;SP;3550308;2;-1;14
1523;1;9;Cliente 1523;SÃO PAULO;SP;3550308;2;-1;14
1524;1;9;Cliente 1524;SÃO PAULO;SP;3550308;2;-1;14
1525;1;9;Cliente 1525;SÃO PAULO;SP;3550308;2;-1;14
1526;1;9;Cliente 1526;SÃO PAULO;SP;3550308;2;-1;14
1527;1;4;Cliente 1527;UBATUBA;SP;3555406;2;-1;14
1528;1;9;Cliente 1528;SÃO PAULO;SP;3550308;2;-1;14
1529;1;9;Cliente 1529;SÃO PAULO;SP;3550308;2;0;0
1530;1;27;Cliente 1530;SÃO PAULO;SP;3550308;2;-1;14
1531;1;27;Cliente 1531;SÃO PAULO;SP;3550308;2;-1;14
1532;1;27;Cliente 1532;SÃO PAULO;SP;3550308;2;-1;14
1534;1;4;Cliente 1534;UBATUBA;SP;3555406;2;-1;21
1535;1;30;Cliente 1535;SÃO PAULO;SP;3550308;2;-1;7
1536;1;9;Cliente 1536;SÃO PAULO;SP;3550308;2;0;0
1537;1;30;Cliente 1537;SÃO PAULO;SP;3550308;2;-1;7
1538;1;4;Cliente 1538;UBATUBA;SP;3555406;2;-1;14
1539;1;9;Cliente 1539;SÃO PAULO;SP;3550308;2;-1;10
1540;1;28;Cliente 1540;SÃO PAULO;SP;3550308;2;-1;14
1541;1;9;Cliente 1541;SÃO PAULO;SP;3550308;1;0;14
1542;1;9;Cliente 1542;SÃO PAULO;SP;3550308;2;-1;14
1543;1;9;Cliente 1543;SÃO PAULO;SP;3550308;2;0;14
1544;1;27;Cliente 1544;SÃO PAULO;SP;3550308;2;-1;14
1545;1;9;Cliente 1545;SÃO PAULO;SP;3550308;2;-1;14
1546;1;27;Cliente 1546;SÃO PAULO;SP;3550308;2;-1;14
1547;1;9;Cliente 1547;SÃO PAULO;SP;3550308;2;-1;14
1548;1;11;Cliente 1548;SÃO PAULO;SP;3550308;2;-1;14
1549;1;27;Cliente 1549;SÃO PAULO;SP;3550308;2;-1;14
1551;1;9;Cliente 1551;SÃO PAULO;SP;3550308;2;-1;14
1555;1;28;Cliente 1555;SÃO PAULO;SP;3550308;2;-1;7
1556;1;9;Cliente 1556;SÃO PAULO;SP;3550308;2;0;14
1557;1;9;Cliente 1557;SÃO PAULO;SP;3550308;2;-1;14
1558;1;9;Cliente 1558;SAO PAULO;SP;3550308;2;-1;14
1559;1;9;Cliente 1559;SÃO PAULO;SP;3550308;2;0;0
1560;1;9;Cliente 1560;SÃO PAULO;SP;3550308;2;-1;14
1561;1;9;Cliente 1561;SÃO PAULO;SP;3550308;2;-1;14
1562;1;32;Cliente 1562;SÃO PAULO;SP;3550308;2;-1;14
1563;1;27;Cliente 1563;SÃO PAULO;SP;3550308;2;-1;28
1564;1;9;Cliente 1564;SÃO PAULO;SP;3550308;2;-1;14
1565;1;9;Cliente 1565;SÃO PAULO;SP;3550308;2;-1;28
1566;1;27;Cliente 1566;SÃO PAULO;SP;3550308;2;-1;14
1567;1;9;Cliente 1567;SÃO PAULO;SP;3550308;2;-1;14
1568;1;27;Cliente 1568;SÃO PAULO;SP;3550308;2;-1;14
1569;1;9;Cliente 1569;SÃO PAULO;SP;3550308;2;-1;14
1570;1;28;Cliente 1570;SÃO PAULO;SP;3550308;2;0;0
1571;1;32;Cliente 1571;SÃO PAULO;SP;3550308;2;-1;7
1572;1;27;Cliente 1572;SÃO PAULO;SP;3550308;2;-1;14
1573;1;27;Cliente 1573;SÃO PAULO;SP;3550308;2;-1;14
1574;1;11;Cliente 1574;SÃO PAULO;SP;3550308;2;-1;14
1576;1;31;Cliente 1576;UBATUBA;SP;3555406;2;0;14
1577;1;27;Cliente 1577;SÃO PAULO;SP;3550308;2;-1;14
1578;1;9;Cliente 1578;SÃO PAULO;SP;3550308;2;-1;14
1579;1;11;Cliente 1579;SÃO PAULO;SP;3550308;2;-1;7
1580;1;11;Cliente 1580;SÃO PAULO;SP;3550308;2;-1;14
1581;1;4;Cliente 1581;UBATUBA;SP;3555406;2;-1;14
1582;1;9;Cliente 1582;SÃO PAULO;SP;3550308;2;-1;21
1583;1;9;Cliente 1583;SÃO PAULO;;3550308;2;0;14
1584;1;9;Cliente 1584;SÃO PAULO;SP;3550308;2;-1;14
1585;1;9;Cliente 1585;SÃO PAULO;SP;3550308;2;0;0
1588;1;27;Cliente 1588;SÃO PAULO;SP;3550308;2;-1;14
1589;1;28;Cliente 1589;SÃO PAULO;SP;3550308;2;-1;14
1590;1;28;Cliente 1590;SÃO PAULO;SP;3550308;2;-1;14
1591;1;28;Cliente 1591;SÃO PAULO;SP;3550308;2;-1;14
1592;1;27;Cliente 1592;SÃO PAULO;SP;3550308;2;-1;14
1593;1;9;Cliente 1593;SÃO PAULO;SP;3550308;2;-1;14
1594;1;27;Cliente 1594;SÃO PAULO;SP;3550308;2;-1;7
1595;1;9;Cliente 1595;SÃO PAULO;SP;3550308;2;-1;14
1596;1;27;Cliente 1596;SÃO PAULO;SP;3550308;2;-1;14
1597;1;9;Cliente 1597;SÃO PAULO;SP;3550308;2;-1;14
1598;1;9;Cliente 1598;SÃO PAULO;SP;3550308;2;0;
